code,nom,groupe,sous_groupe,kcal,proteines,glucides,lipides,fibres_g,sucres_g,ags_g,sel_g,calcium_mg,fer_mg,magnesium_mg,potassium_mg,zinc_mg,selenium_ug,iode_ug,vit_a_er_ug,vit_c_mg,vit_d_ug,vit_b9_ug,vit_b12_ug,omega3_ala_g,omega3_epadha_g
24999,Dessert (aliment moyen),,,255,4.41,32.9,11.3,1.7,21.3,4.96,0.33,67.6,1.3,19.1,178,0.46,5.72,13.6,53.5,2.42,0.16,,0.18,0.23,0.012
13004,"Avocat, chair sans peau, sans noyau, cru","fruits, légumes, légumineuses et oléagineux",légumes,203,1.56,0,20.6,3.6,0.4,4.51,0.015,9.4,0.34,21,430,0.43,10,10,0.21,0.25,0,70.4,0,0.15,0.01
13128,"Chayote ou christophine ou chouchou, crue","fruits, légumes, légumineuses et oléagineux",légumes,19.1,0.82,2.8,0.13,1.7,1.66,0.028,0.005,17,0.34,12,125,0.74,,,0,7.7,0,93,0,,0
15029,"Graine germée de luzerne, crue","fruits, légumes, légumineuses et oléagineux",légumes,29.2,3.38,0.81,0.69,1.9,0.2,0.069,0.015,32,0.96,27,79,0.92,,,7.25,8.2,0,36,0,0.18,0
15030,"Graine germée de radis, fraîche, crue","fruits, légumes, légumineuses et oléagineux",légumes,,3.23,,2.53,,,0.77,0.015,51,0.86,44,86,0.56,,,0,28.9,0,95,0,,0
20004,"Bette ou blette, côte (sans feuille), crue","fruits, légumes, légumineuses et oléagineux",légumes,12.8,1,1.63,0.25,1.8,1.2,0.005,0.57,25,0.85,17,300,0.07,10,10,2.16,3.08,0.125,24.7,,0.005,0.01
20009,"Carotte, crue","fruits, légumes, légumineuses et oléagineux",légumes,30.2,0.78,5.16,0.25,2.9,4.85,0.075,0.12,36.2,0.125,13.6,274,0.25,0.415,10,1100,3.73,0.05,11.2,0,0.075,0.15
20010,"Champignon, tout type, cru","fruits, légumes, légumineuses et oléagineux",légumes,24.3,2.42,2.25,0.34,1.63,1.74,0.05,0.012,7.78,0.5,10.9,318,0.65,1.39,1.88,0,2.1,0.2,17,0,0.13,0
20012,"Salade ou chicorée frisée, crue","fruits, légumes, légumineuses et oléagineux",légumes,26,1.7,2.13,0.3,4,0.7,0.073,0.11,100,0.9,30,420,0.42,1,0.4,286,24,0,110,0,0.013,0
20014,"Chou rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,26.4,1.13,4.33,0.25,2.8,3.9,0.005,0.035,36,0.25,9.7,260,0.15,10,10,0.21,18.7,0,31.9,0,0.005,0.01
20016,"Chou-fleur, cru","fruits, légumes, légumineuses et oléagineux",légumes,24.9,1.81,2.13,0.7,2.2,1.7,0.24,0.015,23,0.27,9.8,270,0.22,10,10,0.21,48.2,0,56.2,0,0.17,0.01
20019,"Concombre, chair et peau, cru","fruits, légumes, légumineuses et oléagineux",légumes,16.8,0.65,2.87,0.11,0.5,1.67,0.037,0.012,19.2,0.13,13.6,157,0.095,5,1.18,3.75,2.8,0,7,0,0.015,0
20020,"Courgette, chair et peau, crue","fruits, légumes, légumineuses et oléagineux",légumes,16.7,1.21,1.75,0.32,1,1.74,0.084,0.02,16,0.37,18,261,0.32,0.76,1.64,10,17.9,0,24,0,0.061,0
20022,"Cresson de fontaine, cru","fruits, légumes, légumineuses et oléagineux",légumes,15.5,2.3,1.11,0.1,0.5,0.2,0.027,0.1,120,0.2,21,330,0.11,,13.8,160,43,0,9,0,,0
20023,"Céleri branche, cru","fruits, légumes, légumineuses et oléagineux",légumes,15.4,0.63,2.41,0.25,2.2,1.3,0.005,0.2,46,0.06,11,390,0.09,10,10,6.22,5.51,0,56.8,0,0.005,0.01
20026,"Endive, crue","fruits, légumes, légumineuses et oléagineux",légumes,16.6,1.19,2.83,0.25,1.1,2.4,0.005,0.006,20,0.12,8.3,150,0.13,10,10,0.21,2.12,0,25.6,0,0.005,0.01
20028,"Fenouil, cru","fruits, légumes, légumineuses et oléagineux",légumes,18.2,1,2.63,0.25,2.6,2.2,0.005,0.055,37,0.2,11,320,0.19,10,10,0.67,2.57,0,19.6,0,0.005,0.01
20031,"Laitue, crue","fruits, légumes, légumineuses et oléagineux",légumes,14.7,1.35,1.22,0.2,1.1,0.73,0.022,0.021,64.6,1.1,14.9,206,0.2,2.33,1.22,303,5.53,0,49,0,0.064,0
20034,"Oignon, cru","fruits, légumes, légumineuses et oléagineux",légumes,39,1.1,6.25,0.62,1.7,4.8,0.2,0.098,25,0,9,190,0.23,2.3,5,2.08,3.9,0,29.6,0,0.001,0
20038,"Pissenlit, cru","fruits, légumes, légumineuses et oléagineux",légumes,48.5,2.7,6.1,0.7,3.5,0.71,0.17,0.22,62.3,3.1,13.2,397,0.21,1.1,0.4,488,35,0,27,0,,0
20039,"Poireau, cru","fruits, légumes, légumineuses et oléagineux",légumes,30.4,1.5,4.55,0.3,1.8,3.9,0.04,0.05,59,2.1,28,180,0.12,0.75,0.74,83.3,12,0,64,0,0.035,0
20041,"Poivron, vert, jaune ou rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,22.6,0.8,3.5,0.27,1.5,1.5,0.071,0.021,7.7,0.4,11.9,155,0.13,0.1,2.5,70.5,121,0.25,40.7,,0.026,0
20044,"Potiron, cru","fruits, légumes, légumineuses et oléagineux",légumes,20.1,1.05,3.5,0.1,0.5,1.93,0.051,0.003,20.5,0.85,12,271,0.24,,,279,10.7,0,12,0,,0
20045,"Radis rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,11,0.94,1.53,0.25,1.4,1.1,0.005,0.04,15,0.4,6.2,250,0.08,10,10,0.21,12.2,0,95.4,0,0.005,0.01
20052,"Artichaut, cru","fruits, légumes, légumineuses et oléagineux",légumes,45.4,3.27,4.84,0.15,5.4,0.99,0.036,0.24,44,1.28,60,370,0.49,0.23,1.08,0.67,11.7,0,68,0,,0
20053,"Aubergine, crue","fruits, légumes, légumineuses et oléagineux",légumes,22.9,0.98,2.7,0.18,3,2.7,0.034,0.005,9,0.23,14,229,0.16,0.4,0.48,1.17,2.2,0,22,0,0.009,0
20054,"Cardon, cru","fruits, légumes, légumineuses et oléagineux",légumes,13.7,0.7,1.7,0.1,1.6,1.5,0.011,0.43,70,0.7,42,400,0.17,0.2,0.095,0,2,0,68,0,,0
